Title,Subject,WhyItMatters,TipSteps,TryPrompt,LearnUrl,LearnLabel,VideoUrl,VideoLabel,WorksWith,Notes
Meet Copilot Chat: where to find it,Friday Copilot Tip: Say hello to your new AI assistant,"Copilot Chat is already included with your work account, so you can start asking it for help today at no extra cost.","Go to m365.cloud.microsoft/chat (or open Copilot in Teams, Outlook or the Microsoft 365 Copilot app) | Sign in with your work account | Type your question in the Message Copilot box and select Send","I'm new to Copilot. Give me 5 simple ways it could save me time in a normal workday, with one example prompt for each.",https://support.microsoft.com/en-us/microsoft-365-copilot/get-started-with-microsoft-365-copilot-chat,Get started with Microsoft Copilot Chat,https://www.youtube.com/watch?v=CnzuJCzPTHY,"Try out Copilot Chat on desktop, mobile, Edge, and web",Copilot Chat (everyone),"Learn page 200 OK, content matches (sign in, Message Copilot box, Send; links to m365.cloud.microsoft/chat). Video verified via oEmbed; channel 'Microsoft 365 Copilot help & learning' (@m365copilotbiz, verified Microsoft channel), published Jul 3 2025. Related page with embedded 3-min video: 'Video tutorial: About Microsoft Copilot Chat'. Microsoft renamed 'Microsoft 365 Copilot Chat' to 'Microsoft Copilot Chat' in 2026 - older screenshots/videos may show the old name."
"Write better prompts: goal, context, source, expectations",Friday Copilot Tip: The 4-part recipe for a great prompt,A little extra detail in your request gets you a much better first answer and less back-and-forth.,"Start with your goal (what you want) | Add context (who it's for and why) | Say what it should look like (bullets, table, tone, length) | Name any source to use, then refine with a follow-up","Write a short, friendly reminder to my team that timesheets are due Friday. It's for busy staff who skim email, so keep it under 80 words with one clear call to action.",https://support.microsoft.com/en-us/microsoft-365-copilot/get-started-writing-prompts-in-microsoft-365-copilot,Get started writing prompts in Microsoft Copilot,https://www.youtube.com/watch?v=7Q7dlRObuEM,Prompting basics for Microsoft 365 Copilot,Copilot Chat (everyone),"Learn page 200 OK (last updated Feb 2026); explicitly describes the four parts goal/context/expectations/source and says only a clear goal is required. Companion pages: 'Write a great prompt in Microsoft Copilot' and 'Get better Copilot responses with great prompting' (both 200). Video verified via oEmbed; channel 'Microsoft 365 Copilot help & learning', published Feb 27 2026; description covers goal, context, expectations and iterating."
Summarize a long email thread in Outlook,Friday Copilot Tip: Catch up on any email thread in seconds,Get the key points of a long back-and-forth without scrolling through every reply.,"In Outlook, open the long email conversation | Select Summary by Copilot (or Summarize) at the top of the thread | Read the summary and click the numbered citations to jump to the original emails","Summarize this email thread in 3 bullets: what was decided, what's still open, and what I need to do next.",https://support.microsoft.com/en-us/outlook/copilot-pages/summarize-an-email-thread-with-copilot-in-outlook,Summarize an email thread with Copilot in Outlook,https://www.youtube.com/watch?v=D-DfXUSbQcw,Summarize and draft emails with Microsoft 365 Copilot in Outlook,Copilot Chat (everyone),"Learn page 200 OK; steps taken from page (button reads 'Summary by Copilot' or 'Summarize'; on iOS/Android tap the Copilot icon). Page embeds a short video. Video verified via oEmbed; channel 'Microsoft Learn', published Jul 29 2025. Licensing: Microsoft's 'What Copilot license do I have' and 'How Copilot Chat works in Microsoft 365 apps' pages say all subscribers have access to Copilot in Outlook; unlicensed users get standard (not priority) access. Not supported on encrypted/IRM emails or shared mailboxes. TryPrompt is for the Copilot chat pane in Outlook if they want more than the button gives."
Draft an email with Copilot in Outlook,Friday Copilot Tip: Beat the blank email,"Copilot writes a solid first draft from a one-line request, so you just review, tweak and send.","In Outlook, start a New mail (or a reply) | Select the Copilot icon in the toolbar, then Draft (classic Outlook: Draft with Copilot) | Type what you want to say and select Generate | Adjust length or tone, select Keep it, then edit and send","Write a polite email declining a meeting invitation for next Tuesday, offering two alternative times later in the week.",https://support.microsoft.com/en-us/outlook/copilot-pages/draft-an-email-message-with-copilot-in-outlook,Draft an email message with Copilot in Outlook,https://www.youtube.com/watch?v=PrI7xxo8AKQ,5 Ways to Use Copilot in Outlook | Microsoft 365,Copilot Chat (everyone),"Learn page 200 OK (old /office/...3eb1d053 URL redirects here); steps match page for new Outlook/web and classic. UI labels vary: new Outlook 'Draft' + 'Keep it'; classic 'Draft with Copilot' + 'Keep'; Mac 'Insert'. Draft doesn't work on plain-text messages in new Outlook (switch to HTML). Newer builds also show 'Help me write'/'Help me reply'. Video verified via oEmbed; channel 'Microsoft Copilot', published Jun 10 2026 (covers drafting new emails, replies, and revising tone/length). Licensing: Copilot in Outlook is included for all subscribers per Microsoft's license pages."
Check Copilot's work (and keep it safe),"Friday Copilot Tip: Trust, but verify","Copilot is a great helper but can make mistakes, so a quick check keeps your work accurate and your data protected.","Look for the small citation numbers in the answer, or select Sources at the bottom | Open a source and double-check names, numbers and dates before you share | Only use content you're allowed to share and follow company rules for sensitive info (e.g. never paste passwords) | Select thumbs down to flag a wrong answer","Before I use this, list any facts, figures or dates in your last answer that I should double-check, and tell me where each one came from.",https://support.microsoft.com/en-us/microsoft-365-copilot/what-information-does-copilot-use-to-answer-my-prompt,What information does Copilot use to answer my prompt?,https://www.youtube.com/watch?v=l3215bNF6jg,How grounding works in Microsoft 365 Copilot,Copilot Chat (everyone),"Learn page 200 OK; covers grounding, citations, 'review the sources and confirm critical details', Copilot respects existing permissions and doesn't train public models on company data. Citation/Sources steps from 'Control and review sources of Microsoft Copilot Chat's responses' (support.microsoft.com/en-us/microsoft-365-copilot/control-review-sources-copilot-chat, 200). For the privacy angle, Microsoft Learn 'Enterprise data protection in Microsoft Copilot and Microsoft Copilot Chat' (learn.microsoft.com/en-us/microsoft-365/copilot/enterprise-data-protection, 200). 'Never paste passwords' is our friendly house rule, not a Microsoft quote - align with your own policy. Video verified via oEmbed; channel 'Microsoft 365 Copilot help & learning', published Mar 12 2026."
Upload a file and ask Copilot about it,Friday Copilot Tip: Hand Copilot a file and ask away,"Get a quick summary or answers from a long PDF, Word doc or spreadsheet without reading every page.","In Copilot Chat, type what you want, e.g. Summarize the document | Select the + (Add content) button, then Upload images and files or Attach cloud files | Pick your file and select Send | Tip: you can also type / and start typing a file name to add it","Summarize this document in 5 bullet points, then list any deadlines, dollar amounts or action items it mentions.",https://support.microsoft.com/en-us/microsoft-365-copilot/analyze-an-uploaded-document-in-copilot-chat,Analyze an uploaded document in Copilot Chat,https://www.youtube.com/watch?v=75vF2ysGgbo,Analyze an uploaded document with Microsoft 365 Copilot Chat,Copilot Chat (everyone),"Learn page 200 OK; states Copilot Chat is included with work subscriptions; page embeds a video. '/' file referencing from 'Refer to specific files and more in Microsoft Copilot' (200) - its 'Users without a Microsoft Copilot license' section confirms unlicensed users can reference files with '/' (people/emails/meetings need a license). Button name varies by page/version: 'Add content and agents', 'Add and manage sources' or '+'. File upload is 'standard access' for unlicensed users (may be limited at peak times). Video verified via oEmbed; channel 'Microsoft 365 Copilot help & learning', published Apr 18 2025."
Get email coaching before you hit send,Friday Copilot Tip: A second opinion on that tricky email,Copilot suggests how to improve tone and clarity so important emails land the way you intend.,"Write your email in Outlook as usual | Select the Copilot icon in the toolbar and choose Coaching by Copilot | Review the tone, clarity and reader sentiment suggestions | Apply the ones you like (or Apply all suggestions), then send",,https://support.microsoft.com/en-us/outlook/copilot-pages/get-email-coaching-with-copilot-in-outlook,Get email coaching with Copilot in Outlook,,,Copilot Chat (everyone),"Learn page 200 OK (old /office/...91a3cd56 URL redirects here); steps match page for Windows, Mac and mobile. Page embeds its own short video. On mobile the draft must be at least 100 characters. No dedicated official YouTube video on coaching found, so left blank. Licensing: Copilot in Outlook is included for all subscribers per Microsoft's license pages; if Coaching isn't visible, check with IT."
Catch up on a busy Teams chat,Friday Copilot Tip: Missed 200 chat messages? No problem,"Get the main points, decisions and action items from a long chat without scrolling back through everything.","In Teams, go to Chat and open the conversation | Select Open Copilot in the upper-right corner | Pick a suggested prompt or type your own | Select Sources to jump to the original messages","Summarize what I've missed in this chat over the last week, including any decisions and anything assigned to me.",https://support.microsoft.com/en-us/teams/copilot/how-to-use-microsoft-365-copilot-in-teams-chats-and-channels,How to use Microsoft Copilot in Teams chats and channels,https://www.youtube.com/watch?v=TqYxpkY-jhI,AI Simplified | Catch up on chat threads with Copilot in Microsoft Teams,Microsoft 365 Copilot license,"Learn page 200 OK; steps match. Default look-back is 30 days; Copilot can't summarize images, Loop components or shared files in the chat. Channels also have a 'Summarize thread' option (thread needs 1000+ characters). Video verified via oEmbed; channel 'Microsoft Teams'. Unlicensed users can still use Copilot Chat in Teams (Chat > Copilot) for general questions, but in-chat summaries need the license."
Recap a Teams meeting (or ask during one),Friday Copilot Tip: Never lose track of a meeting again,"Get key points and action items from a meeting you missed, or quickly catch up if you join late.","After the meeting, open it from your Teams Calendar or the meeting chat and go to the Recap tab | Select Open Copilot and ask a question | During a live meeting, select Copilot in the meeting controls to ask privately | Make sure transcription is on so you can ask about it afterward","What were the main decisions and action items from this meeting, and who owns each one?",https://support.microsoft.com/en-us/teams/copilot/catch-up-on-meetings-with-microsoft-365-copilot-in-teams,Catch up on meetings with Microsoft Copilot in Teams,https://www.youtube.com/watch?v=yCEPYl8o4iA,Catch up your way with Copilot in Teams,Microsoft 365 Copilot license,"Learn page 200 OK; covers during-meeting use (Copilot in meeting controls, 'View prompts', late-joiner catch-up) and after-meeting use (meeting chat 'Open Copilot' and Recap tab). Asking questions after the meeting requires a transcript. Copilot won't work in meetings hosted outside your organization. Organizer controls this via Meeting options > Copilot and other AI. Page embeds a short video. Video verified via oEmbed; channel 'Microsoft Teams', published Jun 25 2026 (covers Meeting Recap, audio/video recaps)."
Summarize a long Word document,Friday Copilot Tip: Get the gist of any document fast,"Know what a long report, contract or policy says before you dive into the details.","Open the document in Word (saved in OneDrive or SharePoint works best) | If a summary appears at the top, select View More | Or open Copilot and type: Summarize this document | Use the citations to check key points in the original","Summarize this document in 5 bullet points for someone with 2 minutes, then list any open questions or action items.",https://support.microsoft.com/en-us/word/copilot/create-a-summary-of-your-document-with-copilot-in-word,Create a summary of your document with Copilot in Word,https://www.youtube.com/watch?v=KU737F-rHao,How to Summarize Documents in Word,Microsoft 365 Copilot license,"Learn page 200 OK; auto-summary at top needs a Copilot license and a file saved in OneDrive/SharePoint (200+ words). 'Summarize this document' prompt from 'Chat with Copilot about your Word document' (support.microsoft.com/en-us/word/copilot/chat-with-copilot-about-your-word-document, 200, embeds a video). Since Apr 15 2026 Copilot inside Word/Excel/PowerPoint/OneNote is for licensed users (label 'M365 Copilot (Basic/Premium)'); unlicensed staff can upload the file to Copilot Chat instead (see upload tip). Video verified via oEmbed; channel 'Microsoft Copilot', published May 1 2026."
